,index,id,title,rating,user
91,7,40135906,Animal Farm,5,757
92,8,27985224,Deep Work: Rules for Focused Success in a Distracted World,0,757
93,9,48922054,Good Economics for Hard Times: Better Answers to Our Biggest Problems,0,757
94,10,34597986,Understanding How the Future Unfolds: Using DRIVE to Harness the Power of Today's Megatrends,4,757
95,11,48590536,மாயப் பெருநிலம் Maaya perunilam,4,757
96,12,588138,The Hero With a Thousand Faces,0,757
97,13,34066798,A Gentleman in Moscow,0,757
98,14,28921,The Remains of the Day,0,757
99,15,19985270,"Transfer of Power (Mitch Rapp, #3)",4,757
100,16,30115064,Black Holes: The Reith Lectures,4,757
101,17,18050143,"Zero to One: Notes on Startups, or How to Build the Future",2,757
102,18,68427,"Elantris (Elantris, #1)",5,757
103,19,17333223,The Goldfinch,5,757
104,0,930,Memoirs of a Geisha,4,758
105,1,15753740,The Storyteller,0,758
106,2,7445,The Glass Castle,0,758
107,3,2184798,Blood River: A Journey to Africa's Broken Heart,4,758
108,4,10600242,How to Be a Woman,0,758
109,5,25065629,Hunger Makes Me a Modern Girl,0,758
110,0,3699320,Scenes and Actions: Unpublished Manuscripts,0,759
111,0,9489502,"Cold Vengeance (Pendergast, #11)",4,760
112,1,7122034,"Fever Dream (Pendergast, #10)",4,760
113,2,136636,Thunderhead (Nora Kelly #0),5,760
114,3,39028,"The Wheel of Darkness (Pendergast, #8)",5,760
115,4,136638,"Dance of Death (Pendergast, #6; Diogenes, #2)",5,760
116,5,2198274,The Monster of Florence,4,760
117,6,39033,"Still Life With Crows (Pendergast, #4)",5,760
118,7,30068,"The Book of the Dead (Pendergast, #7; Diogenes, #3)",5,760
119,8,136637,"Brimstone (Pendergast, #5; Diogenes, #1)",5,760
120,9,39030,"Reliquary (Pendergast, #2)",5,760
121,10,39031,"The Cabinet of Curiosities (Pendergast, #3)",5,760
122,11,1381,The Odyssey,4,760
123,12,1371,The Iliad,4,760
124,13,30119,Where the Sidewalk Ends,5,760
125,14,4406,East of Eden,5,760
126,15,233818,Island of the Blue Dolphins,5,760
127,16,231804,The Outsiders,5,760
128,17,24178,Charlotte's Web,5,760
129,18,71728,Jonathan Livingston Seagull,4,760
130,19,662,Atlas Shrugged,4,760
131,0,25898771,The 80/20 Rule for Dating and Relationships: A New Approach to Compromise without Sacrificing Happiness,0,764
132,0,44669509,The Alpha's Breeder: A Fantasy Werewolf Novel (Version 1) (The Breeder),0,768
133,1,8511526,The Pregnancy Shock (The Drakos Baby #1),0,768
134,2,11505797,"Beautiful Disaster (Beautiful, #1)",0,768
135,3,6936382,"Anna and the French Kiss (Anna and the French Kiss, #1)",0,768
136,4,11870085,The Fault in Our Stars,0,768
137,5,10818853,"Fifty Shades of Grey (Fifty Shades, #1)",0,768
138,6,18244799,"Hardwired (Hacker, #1)",0,768
139,7,41865,"Twilight (Twilight, #1)",5,768
140,0,590327,"The Shamer's Daughter (The Shamer Chronicles, #1)",0,769
141,1,11503920,"Return of the Thief (The Queen's Thief, #6)",0,769
142,2,42771754,"Supernova (Renegades, #3)",0,769
143,3,34728667,"Children of Blood and Bone (Legacy of Orïsha, #1)",5,769
144,4,43204703,"A Curse So Dark and Lonely (Cursebreakers, #1)",5,769
145,5,35425827,"Archenemies (Renegades, #2)",5,769
146,6,26032887,"The Wicked King (The Folk of the Air, #2)",0,769
147,7,39320115,"Deathcaster (Shattered Realms, #4)",0,769
148,8,31237984,Henchgirl,4,769
149,9,26032825,"The Cruel Prince (The Folk of the Air, #1)",0,769
150,10,27883214,"Caraval (Caraval, #1)",4,769
151,11,33816845,"Stormcaster (Shattered Realms, #3)",4,769
152,12,25446343,"Muse of Nightmares (Strange the Dreamer, #2)",5,769
153,13,28449207,"Strange the Dreamer (Strange the Dreamer, #1)",4,769
154,14,33555224,"Thunderhead (Arc of a Scythe, #2)",0,769
155,15,20983362,"Passenger (Passenger, #1)",0,769
156,16,31944679,In Other Lands,0,769
157,17,9666870,The Demon's Surrender,4,769
158,18,6594657,The Demon's Covenant,4,769
159,19,28448239,"Bright Smoke, Cold Fire (Bright Smoke, Cold Fire, #1)",0,769
160,0,35922356,The Art of Letting God,2,771
161,1,7815,The Year of Magical Thinking,5,771
162,2,40375495,Hook and Eye: Stories from the Margins,3,771
163,3,130200,Gather Together in My Name,4,771
164,4,13210,Wouldn't Take Nothing for My Journey Now,3,771
165,5,52634103,Bird Summons,3,771
166,6,130193,Even The Stars Look Lonesome,5,771
167,7,338897,Deal Breakers: When to Work on a Relationship and When to Walk Away,0,771
168,8,23602473,God Help the Child,5,771
169,9,15783342,"Data, A Love Story: How I Gamed Online Dating to Meet My Match",2,771
170,10,1045757,Once,3,771
171,11,38746485,Becoming,5,771
172,12,13230882,"Fire Child, Water Child: How Understanding the Five Types of ADHD Can Help You Improve Your Child's Self-Esteem and Attention",2,771
173,13,6356078,"The Big Book of Realistic Drawing Secrets: Easy Techniques for Drawing People, Animals and More",0,771
174,14,27845690,The Course of Love,0,771
175,15,328802,Totto-chan: The Little Girl at the Window,0,771
176,16,6728738,Committed: A Skeptic Makes Peace with Marriage,3,771
177,17,15783514,The Ocean at the End of the Lane,5,771
178,18,20980987,"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",0,771
179,19,23834688,Sick in the Head: Conversations About Life and Comedy,0,771
180,0,703635,"Weddings Are Murder (Susan Henshaw, #11)",1,772
181,1,34840184,The Perfect Couple,3,772
182,2,40721934,The Baker's Secret,3,772
183,3,6131767,Henry's Sisters,2,772
184,4,38389488,The Reckoning,5,772
185,5,1282954,The Last Anniversary,3,772
186,6,8949352,Night Road,5,772
187,7,41587116,Dear Wife,3,772
188,8,40364332,"Inheritance: A Memoir of Genealogy, Paternity, and Love",4,772
189,9,28352410,"Bullseye (Michael Bennett, #9)",4,772
190,10,24396884,"Alert (Michael Bennett, #8)",4,772
191,11,36809135,Where the Crawdads Sing,5,772
192,12,20318201,"Burn (Michael Bennett, #7)",4,772
193,13,17333279,"Gone (Michael Bennett, #6)",4,772
194,14,13037558,"I, Michael Bennett (Michael Bennett, #5)",4,772
195,15,8437913,"Tick Tock (Michael Bennett, #4)",4,772
196,16,43925876,The Giver of Stars,5,772
197,17,15507958,"Me Before You (Me Before You, #1)",4,772
198,18,41592780,Mrs. Everything,3,772
199,19,42525185,The Stranger Inside,3,772
200,0,29780253,Born a Crime: Stories From a South African Childhood,0,773
201,1,27220736,Shoe Dog: A Memoir by the Creator of NIKE,5,773
202,2,35133922,Educated,5,773
203,3,35542451,"Girl, Wash Your Face: Stop Believing the Lies about Who You Are So You Can Become Who You Were Meant to Be",4,773
204,4,10353369,"The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind, Survive Everyday Parenting Struggles, and Help Your Family Thrive",0,773
205,5,27246120,The Awakened Family: A Revolution in Parenting,0,773
206,6,368593,The 4-Hour Workweek,0,773
207,7,17660462,The Everything Store: Jeff Bezos and the Age of Amazon,0,773
208,8,18143977,All the Light We Cannot See,0,773
209,9,33965707,Unshakeable,0,773
210,10,12609433,The Power of Habit: Why We Do What We Do in Life and Business,0,773
211,11,152,Anna Karenina,0,773
212,12,25899336,When Breath Becomes Air,5,773
213,13,31823677,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",4,773
214,14,1052,The Richest Man in Babylon,0,773
215,15,19063,The Book Thief,5,773
216,16,9418327,Bossypants,4,773
217,17,22557272,The Girl on the Train,4,773
218,18,77203,The Kite Runner,5,773
219,19,5470,1984,0,773
220,0,830214,Elizabeth Gaskell: A Habit of Stories,0,776
221,1,592318,My First Five Husbands... And the Ones Who Got Away,0,776
222,2,58399,Dust Tracks on a Road,0,776
223,3,306822,"Aristocrats: Caroline, Emily, Louisa, and Sarah Lennox, 1740-1832",0,776
224,4,9591398,"The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1)",0,776
225,5,6287100,"We Two: Victoria and Albert: Rulers, Partners, Rivals",0,776
226,6,6634223,The Queen Mother: The Official Biography,0,776
227,7,2145185,Charlotte & Leopold: The True Story of The Original People's Princess,0,776
228,8,7521400,This Time Together: Laughter and Reflection,0,776
229,9,22822858,A Little Life,0,776
230,10,15725127,Overnight Sensation,0,776
231,11,6713071,Last Words,0,776
232,12,2785115,Becoming Queen,0,776
233,13,381713,"Elizabeth and Mary: Cousins, Rivals, Queens",0,776
234,14,6122701,The Tudor Chronicles: 1485-1603,0,776
235,15,31086,The Life and Death of Anne Boleyn,0,776
236,16,16277245,The Drunken Botanist: The Plants That Create the World's Great Drinks,4,776
237,17,13624688,The Time Keeper,4,776
238,18,15767449,"A Shard of Ice (Black Symphony, #1)",5,776
239,19,13794548,"Disappeared (Inspector Celcius Daly, #1)",5,776
240,0,11553583,Prokleta avlija,0,777
241,1,278328,Under Three Flags: Anarchism and the Anti-Colonial Imagination,0,777
242,2,6329013,On the Origin of Species,0,777
243,3,13555925,Το δαιμόνιο,0,777
244,4,7051569,Ασθενείς και οδοιπόροι: Τόμος 2,0,777
245,5,9530847,Λεωνής,0,777
246,6,7055705,"Αργώ, Τόμος 2",0,777
247,7,7055644,"Αργώ, Τόμος 1",0,777
248,0,7673,Eaters of the Dead,0,778
249,1,4645750,Horse Soldiers: The Extraordinary Story of a Band of US Soldiers Who Rode to Victory in Afghanistan,0,778
250,2,25698,An Inquiry into the Nature and Causes of the Wealth of Nations,0,778
251,3,225806,The Wisdom of the Desert: Sayings from the Desert Fathers of the Fourth Century,0,778
252,4,913719,The Book of Deeds of Arms and of Chivalry,0,778
253,5,711901,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,4,778
254,6,9525402,"The Heart and the Fist: The Education of a Humanitarian, the Making of a Navy SEAL",5,778
255,7,1215358,The Age of Turbulence: Adventures in a New World,0,778
256,8,2120783,The Post-American World,0,778
257,9,2445973,"The Forgotten Legion (Forgotten Legion Chronicles, #1)",0,778
258,10,30659,Meditations,0,778
259,11,539904,A Bridge Too Far,0,778
260,12,11887020,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,3,778
261,13,115997,In the Company of Heroes: The Personal Story Behind Black Hawk Down,0,778
262,14,1207980,Helmet for My Pillow,0,778
263,15,6308079,The Only Thing Worth Dying For: How Eleven Green Berets Forged a New Afghanistan,0,778
264,16,19083,Politics,0,778
265,17,117031,On War,0,778
266,18,130580,Old Yeller,0,778
267,19,177523,Rights of Man,0,778
268,0,1039455,Ten Thousand Sorrows : The Extraordinary Journey of a Korean War Orphan,0,779
269,1,16158542,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,0,779
270,2,18505779,50 Children: One Ordinary American Couple's Extraordinary Rescue Mission into the Heart of Nazi Germany,0,779
271,3,18143977,All the Light We Cannot See,0,779
272,4,107633,"If You Lived Here, I'd Know Your Name: News from Small-Town Alaska",0,779
273,5,12204857,Ghost Boy: My Miraculous Escape from a Life Locked Inside My Own Body,5,779
274,6,769697,Party Going,0,779
275,7,126912,Loving / Living / Party Going,0,779
276,8,771507,Loving,0,779
277,9,126914,Concluding,0,779
278,10,17902298,I Prayed For Patience: God Gave Me Children,0,779
279,11,797329,Maxims,0,779
280,12,13529,March,0,779
281,13,8615931,The Girl Next Door,3,779
282,14,18297047,Fundamental Error: A Katla KillFile,0,779
283,15,18297507,Microchip Murder: A Katla KillFile,4,779
284,16,18297499,"Peccadillo: A Katla Novel (Amsterdam Assassin, #2)",0,779
285,17,18806631,"Rogue: A Katla novel (Amsterdam Assassin, #3)",0,779
286,18,18297541,Locked Room: A Katla KillFile,0,779
287,19,18297493,"Reprobate: A Katla Novel (Amsterdam Assassin, #1)",0,779
288,0,18241,War and Peace,0,780
289,1,224208,The Blind Witness,0,780
290,2,224209,Smack,0,780
291,0,28810250,Get Smart!: How to Think and Act Like the Most Successful and Highest-Paid People in Every Field,0,781
292,1,25614500,"Get Smart!: How to Think, Decide, Act, and Get Better Results in Everything You Do",0,781
293,2,310259,Love You Forever,0,781
294,3,1670818,The Heart of the 5 Love Languages,0,781
295,0,54081499,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,0,784
296,1,40732778,The 5 Languages of Appreciation in the Workplace: Empowering Organizations by Encouraging People,0,784
297,2,45695810,A Gentleman in Moscow,0,784
298,3,43278132,The Whisper Man,0,784
299,4,44612965,Out of the Silence: After the Crash,0,784
300,5,43386674,Over the Top: A Raw Journey to Self-Love,0,784
301,6,44303730,Me,0,784
302,7,40097951,The Silent Patient,0,784
303,8,23848559,Furiously Happy: A Funny Book About Horrible Things,0,784
304,9,45046683,Little Secrets,0,784
305,10,52501458,"Hard Rain (Rogue, #1)",4,784
306,11,43808723,Everything is F*cked: A Book About Hope,0,784
307,12,29010395,I Am Not Your Perfect Mexican Daughter,0,784
308,13,31434883,Eleanor Oliphant Is Completely Fine,0,784
309,14,28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,0,784
310,15,25066556,Presence: Bringing Your Boldest Self to Your Biggest Challenges,0,784
311,16,29236380,Girl in Pieces,0,784
312,17,36595101,Fire and Fury: Inside the Trump White House,0,784
313,18,23846010,If You Feel Too Much: Thoughts on Things Found and Lost and Hoped For,0,784
314,19,9875493,2030: The Real Story of What Happens to America,0,784
315,0,27266,"Glass Houses (The Morganville Vampires, #1)",0,785
316,1,17245,Dracula,0,785
317,2,10692,The Historian,5,785
318,3,8110348,The Fledgling Handbook 101,5,785
319,4,8652190,"Awakened (House of Night, #8)",5,785
320,5,6917952,"Burned (House of Night, #7)",5,785
321,6,6262365,"Tempted (House of Night, #6)",5,785
322,7,4134071,"Hunted (House of Night, #5)",5,785
323,8,1326258,"Chosen (House of Night, #3)",5,785
324,9,676924,"Betrayed (House of Night, #2)",5,785
325,10,2866718,"Untamed (House of Night, #4)",5,785
326,11,30183,"Marked (House of Night, #1)",5,785
327,12,12183761,Cerulean Sins / Obsidian Butterfly / Skin Trade / Bloody Bones,5,785
328,13,11168893,"Anita Blake, Vampire Hunter: The Laughing Corpse Ultimate Collection",5,785
329,14,12605395,"Laurell K. Hamilton's Anita Blake, Vampire Hunter: Circus of the Damned, Volume 3: The Scoundrel",5,785
330,15,7907083,Anita Blake Vampire Hunter: Guilty Pleasures Handbook,5,785
331,16,11562343,Laughing Corpse,5,785
332,17,11562342,The Laughing Corpse,5,785
333,18,6388040,"Ardeur: 14 Writers on the Anita Blake, Vampire Hunter Series",0,785
334,19,9746631,"Laurell K. Hamilton's Anita Blake, Vampire Hunter: Circus of the Damned, Volume 2: The Ingenue",5,785
335,0,338069,"Elizabeth I: Red Rose of the House of Tudor, England, 1544",0,788
336,1,11254250,"Cabin Fever (Diary of a Wimpy Kid, #6)",0,788
337,2,47301,Zlata's Diary: A Child's Life in Wartime Sarajevo,0,788
338,3,228032,Cousins,0,788
339,0,60431,Andy Goldsworthy: A Collaboration with Nature,0,789
340,1,4070095,Asterios Polyp,0,789
341,2,16992,Kingdom Come,0,789
342,3,82861,"Safe Area Goražde: The War in Eastern Bosnia, 1992-1995",0,789
343,4,106134,"Bone, Vol, 1: Out from Boneville (Bone, #1)",0,789
344,5,96358,Batman: The Killing Joke,5,789
345,6,95431,"Preacher, Volume 1: Gone to Texas",5,789
346,7,38333,Black Hole,0,789
347,8,106069,Batman: The Long Halloween,5,789
348,9,297627,"The League of Extraordinary Gentlemen, Vol. 1",4,789
349,10,21326,"Fables, Vol. 1: Legends in Exile",4,789
350,11,5805,V for Vendetta,3,789
351,12,59960,Batman: The Dark Knight Returns,0,789
352,13,59980,Batman: Year One,0,789
353,14,120253,Good Faeries Bad Faeries,5,789
354,15,11266880,It Chooses You,0,789
355,16,102920,Understanding Comics: The Invisible Art,5,789
356,17,395233,The Letters of Vincent van Gogh,5,789
357,18,10909804,Just My Type: A Book About Fonts,5,789
358,19,10460266,The Talk-Funny Girl,0,789
359,0,203064,Abide with Me,0,791
360,1,22844166,1922,3,791
361,2,37955748,In Pieces,0,791
362,3,15803059,Ordinary Grace,0,791
363,4,25813942,This Tender Land,0,791
364,5,6469165,What Alice Forgot,3,791
365,6,17245,Dracula,0,791
366,7,12293756,Jack Kennedy: Elusive Hero,0,791
367,8,25893709,My Name Is Lucy Barton,0,791
368,9,24331362,The Art of Memoir,0,791
369,10,217402,Cherry,0,791
370,11,6340016,Lit,0,791
371,12,14241,The Liars' Club,0,791
372,13,18764826,The House We Grew Up In,0,791
373,14,23282045,The Anger Meridian,0,791
374,15,2657,To Kill a Mockingbird,5,791
375,16,1617,"Night  (The Night Trilogy, #1)",5,791
376,17,22725927,Wild: From Lost to Found on the Pacific Crest Trail,5,791
377,18,15823461,The Burgess Boys,0,791
378,19,67,The Known World,0,791
379,0,19172408,Be Complete (Colossians): Become the Whole Person God Intends You to Be (The BE Series Commentary),0,793
380,1,21025127,"The Wiersbe Bible Study Series: 1 & 2 Timothy, Titus, Philemon: It's Always Too Soon to Quit",0,793
381,2,19054715,"The Wiersbe Bible Study Series: 2 Peter, 2&3 John, Jude: Beware of the Religious Imposters",0,793
382,3,50204451,Captivated by Christ,0,793
383,4,49971334,"James: Portrait of a Living Faith, A 13-Lesson Study",0,793
384,5,27214824,"The Story of Everything: How You, Your Pets, and the Swiss Alps Fit into God's Plan for the World",0,793
385,6,38235475,Being a Christian: How Jesus Redeems All of Life,0,793
386,7,41045494,"The Extraordinary Life of a Mediocre Jock: God, I’ll Do Anything – Just Make Me Awesome",5,793
387,8,6380695,"The Ruins of Gorlan (Ranger's Apprentice, #1)",5,793
388,9,20799003,Proverbs,0,793
389,10,22090201,"Scorpion Mountain (Brotherband Chronicles, #5)",0,793
390,11,19352987,"Philippians, Colossians, and Philemon: The Fellowship of the Gospel and The Supremacy of Christ",0,793
391,12,34449329,Philippians For You: Shine With Joy as You Live by Faith (God's Word For You Book 18),0,793
392,13,48618675,Matthew: An Expositional Commentary,0,793
393,14,18866757,Matthew: All Authority in Heaven and on Earth,0,793
394,15,10423364,The Parables of Jesus,0,793
395,16,19079767,Romans: A 12-Week Study (Knowing the Bible),0,793
396,17,19552714,Romans 1-16 MacArthur New Testament Commentary Two Volume Set,0,793
397,18,39786763,The Prodigal Prophet: Jonah and the Mystery of God's Mercy,0,793
398,19,18923113,On Being a Pastor: Understanding Our Calling and Work,0,793
399,0,119322,"The Golden Compass (His Dark Materials, #1)",0,794
400,1,18844839,The Deep End of the Sea,0,794
401,2,20410977,"Queen of Hearts: The Crown (Queen of Hearts Saga, #1)",0,794
402,3,18079501,"A Mad, Wicked Folly",0,794
403,4,16068954,"The Scar Boys (The Scar Boys, #1)",0,794
404,5,11974142,Mistwalker,0,794
405,6,11500217,"Angelfall (Penryn & the End of Days, #1)",0,794
406,7,16181630,"Lady Thief (Scarlet, #2)",0,794
407,8,18166936,The Strange and Beautiful Sorrows of Ava Lavender,0,794
408,9,16068905,Fangirl,0,794
409,10,12578305,The Chaos of Stars,0,794
410,11,13246736,"Antigoddess (Goddess War, #1)",0,794
411,12,4885565,"Skeleton Creek (Skeleton Creek, #1)",0,794
412,13,7332,The Silmarillion,0,794
413,14,12578294,"Mind Games (Mind Games, #1)",0,794
414,15,13206760,"Scarlet (The Lunar Chronicles, #2)",0,794
415,16,6131164,"Clockwork Princess (The Infernal Devices, #3)",0,794
416,17,13590205,Finding Camlann,0,794
417,18,12127810,"The House of Hades (The Heroes of Olympus, #4)",0,794
418,19,16071620,Six Earlier Days (Every Day #0.5),0,794
419,0,34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,0,797
420,1,36695178,12 Rules for Life: An Antidote to Chaos,0,797
421,2,33395538,Astrophysics for People in a Hurry,4,797
422,3,13117020,The Personal MBA: A World-Class Business Education in a Single Volume,0,797
423,4,11733490,A History of Ancient Britain,0,797
424,5,29064090,Grit: The Power of Passion and Perseverance,0,797
425,6,26156469,Never Split the Difference,0,797
426,7,23198201,Sapiens: A Brief History of Humankind,4,797
427,8,1713426,Predictably Irrational: The Hidden Forces That Shape Our Decisions,0,797
428,9,12969026,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,0,797
429,10,28188202,Error Australis: the reality recap of Australian history,0,797
430,11,25874625,This is London: Life and Death in the World City,3,797
431,12,25568199,Quarterly Essay 58 Blood Year: Terror and the Islamic State,4,797
432,13,705418,The Limits to Growth: The 30-Year Update,0,797
433,14,4069,Man's Search for Meaning,0,797
434,15,12228097,"The Chimp Paradox: The Acclaimed Mind Management Programme to Help You Achieve Success, Confidence and Happiness",0,797
435,16,18210807,"The Chief Financial Officer: What CFOs Do, the Influence they Have, and Why it Matters",4,797
436,17,16158498,Give and Take: A Revolutionary Approach to Success,0,797
437,18,16144575,How Asia Works: Success and Failure in the World's Most Dynamic Region,5,797
438,19,22571554,Stand Out: How to Find Your Breakthrough Idea and Build a Following Around It,0,797
439,0,266661,Fire from the Rock,2,798
440,1,5927441,"Just Another Hero (Jericho, #3)",5,798
441,2,238016,Double Dutch,3,798
442,3,266666,"November Blues (Jericho, #2)",4,798
443,4,111011,"Darkness Before Dawn (Hazelwood High, #3)",3,798
444,5,119838,"Tears of a Tiger (Hazelwood High, #1)",3,798
445,6,214576,Imani All Mine,5,798
446,7,568857,Broken China,5,798
447,8,6527740,"Last Sacrifice (Vampire Academy, #6)",5,798
448,9,6479259,"Spirit Bound (Vampire Academy, #5)",5,798
449,10,5996153,"Blood Promise (Vampire Academy, #4)",5,798
450,11,2802316,"Shadow Kiss (Vampire Academy, #3)",5,798
451,12,2282133,"Frostbite (Vampire Academy, #2)",5,798
452,13,345627,"Vampire Academy (Vampire Academy, #1)",5,798
453,14,3090465,"The Twilight Saga (Twilight, #1-4)",5,798
454,15,1162543,"Breaking Dawn (Twilight, #4)",5,798
455,16,49041,"New Moon (Twilight, #2)",5,798
456,17,428263,"Eclipse (Twilight, #3)",5,798
457,18,41865,"Twilight (Twilight, #1)",5,798
458,19,9578981,Around the Way Girls 8,5,798
459,0,8153371,The Red Badge of Courage,0,799
460,1,18626858,"The Hunger Games (The Hunger Games, #1)",0,799
